Name,Other names,CAS number,CAS number search,Grade,Manufacturer,Import date,Product Size,Product size unit,Amount remain,Amount remain unit,Check date,Owner,Category,Storage,SDS
Acetone,,67-64-1,67641,AR,Merck,,2.5,L,1,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
Boric acid,,10043-35-3,10043353,ACS,Amresco,,1,kg,0.5,kg,2025-11-03,Central Stock,Acid,Chemical storage 1,
Boric acid,,10043-35-3,10043353,,Rankem,,1,kg,0.5,kg,2025-11-03,Central Stock,Acid,Chemical storage 1,
Chelex 100 Resin,,,,Biotechnology,Bio-Rad,,100,g,40,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
Chloroform,,67-66-3,67663,AR,RCI Labscan,2020-06-25,2.5,L,2,L,2025-11-03,Krittika Kaewchumnong,Flammable,Chemical storage 3,
D-(+)-Glucose,Dextrose,50-99-7,50997,Molecular biology,Sigma,2011-12-26,100,g,50,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
EDTA,,60-00-4,60004,AR,Ajax,,500,g,400,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
EDTA Disodium Salt Dihydrate,,6381-92-6,6381926,Biotechnology,Amresco,2015-11-26,500,g,200,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
Ethanol,,64-17-5,64175,AR,Merck,,2.5,L,2.5,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
Glycerol,,56-81-5,56815,Biotechnology,Amresco,2015-03-03,1,L,1,L,2025-11-03,Central Stock,Neutral,Chemical storage 1,
Glycine,,56-40-6,56406,Molecular biology,Himedia,2023-02-01,500,g,500,g,2025-11-03,Central Stock,Neutral,Chemical storage 1,
Igepal CA-630,,9002-93-1,9002931,Molecular biology,Merck,2023-01-01,50,mL,50,mL,2025-11-03,Matsapume Detcharoen,Detergent/Organic,Chemical storage 1,
Isoamyl-alcohol,,123-51-3,123513,AR,QReC,2020-06-25,2.5,L,2,L,2025-11-03,Krittika Kaewchumnong,Flammable,Chemical storage 3,
Isopropanol,,67-63-0,67630,AR,Merck,,2.5,L,2,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
Isopropanol,,67-63-0,67630,AR,Glentham,2025-01-01,2.5,L,2.5,L,2025-11-03,Central Stock,Flammable,Chemical storage 3,
