Number,Name,Other names,CAS number,CAS number search,Grade,Manufacturer,Open date,Product Size,Product size unit,Amount remain,Amount remain unit,Check date,Owner,Category,Storage,SDS,SDS version,GHS: Signal Word,Receive Date,Expire Date,Price
Bsc0801-001,Acetone,,67-64-1,67641,AR,Merck,,2.5,L,1,L,03/11/2025,Central Stock,Flammable,Chemical storage 3,,,,,,856
Bsc0801-002,Boric acid,,10043-35-3,10043353,ACS,Amresco,,1,kg,0.5,kg,03/11/2025,Central Stock,Acid,Chemical storage 1,docs/boric-b7660.pdf,,,,,1600
Bsc0801-003,Boric acid,,10043-35-3,10043353,,Rankem,,1,kg,0.5,kg,03/11/2025,Central Stock,Acid,Chemical storage 1,,,,,,1600
Bsc0801-004,Chelex 100 Resin,,,,Biotechnology,Bio-Rad,,100,g,40,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/chelex-HRLS00149_MTR_EGHS_BE.pdf,2025-04-23,7: Warning,,,
Bsc0801-005,Chloroform,,67-66-3,67663,AR,RCI Labscan,2020-06-25,2.5,L,2,L,03/11/2025,Krittika Kaewchumnong,Flammable,Chemical storage 3,,,,,,3381
Bsc0801-006,D-(+)-Glucose,Dextrose,50-99-7,50997,Molecular biology,Sigma,2011-12-26,100,g,50,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/glucose-g8270.pdf,2024-07-12,NA,,,600
Bsc0801-007,EDTA,,60-00-4,60004,AR,Ajax,,500,g,400,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,,,,,,1500
Bsc0801-008,EDTA Disodium Salt Dihydrate,,6381-92-6,6381926,Biotechnology,Amresco,2015-11-26,500,g,200,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/edta-sds_VWRV0105.pdf,2018-04-12,NA,,,850
Bsc0801-009,Ethanol absolute,,64-17-5,64175,AR,Merck,,2.5,L,2.5,L,03/11/2025,Central Stock,Flammable,Chemical storage 3,docs/ethanol_1.00983.pdf,2025-08-04,"2,7: Danger",,,2440
Bsc0801-010,Glycerol,,56-81-5,56815,Biotechnology,Amresco,2015-03-03,1,L,1,L,03/11/2025,Central Stock,Neutral,Chemical storage 1,,,,,,1000
Bsc0801-011,Glycine,,56-40-6,56406,Molecular biology,Himedia,2023-02-01,500,g,500,g,03/11/2025,Central Stock,Neutral,Chemical storage 1,docs/glycine-MB013.pdf,2024-04-18,NA,,2026-04,1100
Bsc0801-012,Igepal CA-630,,9002-93-1,9002931,Molecular biology,Merck,2023-01-01,50,mL,50,mL,03/11/2025,Matsapume Detcharoen,Detergent/Organic,Chemical storage 1,docs/igepal-i8896.pdf,2025-09-13,"5,7,9: Danger",,,
Bsc0801-013,Isoamyl-alcohol,,123-51-3,123513,AR,QReC,2020-06-25,2.5,L,2,L,03/11/2025,Krittika Kaewchumnong,Flammable,Chemical storage 3,,,,,,2782
Bsc0801-014,Isopropanol,2-Propanol,67-63-0,67630,AR,Merck,,2.5,L,2,L,03/11/2025,Central Stock,Flammable,Chemical storage 3,docs/isopropanol_109634.pdf,2024-10-09,"2,7: Danger",,,1000
Bsc0801-015,Isopropanol,2-Propanol,67-63-0,67630,AR,Glentham,2025-01-01,2.5,L,2.5,L,03/11/2025,Central Stock,Flammable,Chemical storage 3,,,,,,
Bsc0801-016,Isopropanol,2-Propanol,67-63-0,67630,AR,RCI Labscan,,2.5,L,2,L,03/11/2025,Central Stock,Flammable,Chemical storage 3,,,,,,
